"","Lung_F1","Lung_F2","Lung_F3","Lung_M1","Lung_M2","Lung_M3"
"mmu-miR-25-5p",0.533691136440835,-0.296763742356594,0.424735772119013,1.26429639989466,1.46243996630216,0.861775903080948
"mmu-miR-25-3p",9.77721283108602,9.64985418209233,9.95780253305329,9.40443211148825,9.41217675552905,9.37201749614392
"mmu-miR-98-5p",8.57308741737912,8.09170671746423,8.88507316755128,8.23784015913888,8.93501028017072,8.31022155827413
"mmu-miR-98-3p",3.18840971598857,2.55536418734752,3.10003674135613,0.270343506509182,0.365027926340996,-0.191456132375486
"mmu-let-7e-5p",8.77147640417963,8.27182968488883,9.0285898905141,8.87026334266626,9.4636425242732,8.97412706166601
"mmu-let-7e-3p",3.62190342428724,3.28470291874232,2.68354564165315,1.90980114756686,2.83980679844519,2.26857590966564
"mmu-miR-101b-3p",8.18814910349469,8.77138918149234,8.96003167774136,7.35774807105243,7.33156281163343,7.41040716176106
"mmu-miR-1839-5p",7.22508786211311,6.71482365542134,7.71490022920434,7.63391583680201,7.75355995851015,7.62085280256817
"mmu-miR-1839-3p",4.27356253598479,3.92387687891361,4.06899692973815,3.35275879557559,3.32553213188733,3.63340097539338
"mmu-miR-140-3p",9.22055333567531,10.4502349783203,11.2990188873565,9.77065177267318,9.63627182994411,9.90214260214944
"mmu-miR-140-5p",6.02610526778299,6.24866212281218,5.39895919784546,5.55131603317855,5.24199107368805,5.65606508303199
"mmu-miR-150-5p",8.6706885139996,8.46727411271276,7.69326347115089,9.97899554085344,9.58506830348302,10.0607064994672
"mmu-miR-150-3p",1.1229739022252,1.25056029619863,0.197695614471213,2.67554154559226,2.00499878583823,2.93416361165429
"mmu-let-7d-5p",9.31518169681136,8.94206243173788,9.68793913166139,10.6066662695455,10.862538250594,10.6684121926088
"mmu-let-7d-3p",7.87352436351674,7.69839097591915,7.80213665628854,7.14747552704794,7.62919365717261,7.00116053493686
"mmu-miR-378c",1.75049290785984,1.30533572488689,2.02814091982762,-0.458598506111669,0.441274610415605,-0.00953089053434058
"mmu-miR-542-5p",2.0656937142402,2.53258726495624,1.21389760380763,3.14739286526728,3.3355560516372,2.99931679894636
"mmu-miR-542-3p",7.77414341829767,7.82329062839509,8.2732819082072,6.48720479748404,6.52597188433229,6.54236201659498
"mmu-miR-1843b-5p",7.10489752583532,6.76209504129895,7.33646945943057,7.03881963345003,7.04662967986939,6.98717553938177
"mmu-miR-1843b-3p",4.12296408502107,3.11109552927028,3.68645137938723,3.70999799494505,3.60784098603585,3.68711850578931
"mmu-miR-1843a-5p",6.21347165657329,5.94446158082868,6.5118264147347,5.93088780362965,5.95647870855976,5.88448649914979
"mmu-miR-1843a-3p",0.705057664201866,1.30533572488689,1.43858981282506,2.82911646272435,2.56098354005275,2.32048864298457
"mmu-miR-5099",7.61663851780384,7.69647108680176,7.76631902956658,8.01539226516622,8.17414440692645,8.45418138198243
"mmu-miR-214-5p",3.23111408876078,3.35129563003136,2.59297247212242,2.72857052769846,2.39835772415419,2.66641473343888
"mmu-miR-214-3p",6.35373849311588,6.13795801353451,5.9886646342966,6.84531529043214,6.67453208475502,6.72198222558141
"mmu-miR-155-5p",5.8659632819099,5.94014110639174,5.84397901181498,5.89654204827391,5.45006616537758,5.61854081154154
