"","Lung_F1","Lung_F2","Lung_F3","Lung_M1","Lung_M2","Lung_M3"
"mmu-miR-7019-3p",-1.68300093978931,-0.439424639263242,-1.59425712336473,-0.345738711756523,0.240989512578602,0.0880783172425862
"mmu-mir-125a",0.672408008673912,1.41347623988647,0.670398338944885,2.0130456124504,1.44773088703198,1.71888249157282
"mmu-miR-339-5p",5.14952154902477,5.19645416130151,4.87374154505821,5.69062761357655,5.6589099155591,5.67699073669611
"mmu-miR-152-5p",6.81188338811399,7.04418369039096,7.52479877633154,5.45539829915933,5.49754614863991,5.20265370464833
"mmu-mir-22",0.672408008673912,1.27054022858683,1.09197011307902,1.13730694497039,1.10302277661158,0.783649551192717
"mmu-let-7f-5p",13.6153800484597,13.1365133560876,14.306818639382,14.014930486017,14.3719017130575,13.9882023351823
"mmu-miR-10b-5p",12.5952093909501,13.6918465699072,13.2661847334881,12.278397764061,11.9877336500608,12.370196956307
"mmu-miR-410-3p",2.18873069145955,3.61020357375808,3.32964865725691,2.36920692569927,2.37172459987121,2.47802152090936
"mmu-mir-126a",9.18008277522951,8.62376221885416,8.54313124614835,7.83623664827626,8.06535697240244,7.78764299675766
"mmu-miR-26b-5p",12.9999194477889,12.8263346906388,13.0250608100138,12.6309258948194,12.4767788907448,12.7435718500223
"mmu-miR-409-5p",-1.35262950685014,0.404587333475191,0.0722778272420584,-0.345738711756523,-0.732023181807667,0.0176332964952691
"mmu-mir-32",0.0464575964066962,-1.3132597946998,-0.198709376445997,-0.798402133129271,-0.0166068946525039,-0.0564288427117223
"mmu-mir-31",0.254609924586039,0.730077565705489,0.0722778272420584,0.43511977001769,0.707272901567279,-0.397794112984691
"mmu-miR-3066-5p",0.0464575964066962,-0.613356488214752,-0.198709376445997,-0.631230713608108,-1.53786371612365,-0.983536750387972
"mmu-miR-339-3p",3.59604481918744,4.08625759158017,3.98323254239152,4.30662693464599,4.12222818633691,4.28927078580575
"mmu-mir-125b-1",1.35357927069006,1.50146025633287,0.825018694817372,2.1340674513302,2.33535821039736,2.10599023963909
"mmu-miR-7044-3p",0.254609924586039,0.655327791167135,0.0722778272420584,0.708921868887052,0.649200561440424,0.866149919449391
"mmu-mir-30c-1",7.58024833453659,7.15770142686384,7.09218323497678,5.23499413004191,5.5320986761772,5.15216822609109
"mmu-mir-125b-2",5.0725838338222,6.10320579713666,6.12946566611032,5.8563502003954,5.80900867386693,5.66263521230439
"mmu-mir-30c-2",7.58386882290515,7.16277002717492,7.0940856747987,5.23499413004191,5.53008892140064,5.15216822609109
"mmu-miR-324-5p",4.99494127637991,4.949023725603,5.1834993978817,4.42046329362673,4.67781627814084,4.5328735111533
"mmu-miR-221-5p",5.67814472752539,6.64848762947523,7.05555189494716,7.3416190540416,7.39137587372637,7.12836344240182
"mmu-miR-5709-5p",0.0464575964066962,-0.0164066762939349,0.497195068285655,0.0968879336923431,0.390265900745355,-0.134499755308378
"mmu-miR-187-5p",0.74319127496439,0.868874234587731,1.3171539035206,2.20208926312542,2.4071967865189,1.80505998541047
"mmu-miR-133b-3p",1.56372977193342,3.81294954549186,1.90768299204315,2.85102410496933,0.967017227624106,3.82091183731878
"mmu-mir-6516",0.0464575964066962,0.404587333475191,-0.96793194371937,0.275893306151801,0.240989512578602,0.155243141104565
"mmu-miR-1933-3p",-1.08399353708071,-1.64992787835748,-1.59425712336473,-0.798402133129271,-1.07939561483328,-0.983536750387972
"mmu-miR-22-3p",12.8478079572827,12.9291730955028,12.6879539805311,13.6037255129521,13.7913908462284,13.5409362868875
"mmu-miR-324-3p",1.56372977193342,1.80790202106379,1.76212295307297,1.04153788610732,1.5143085200652,0.825489376875572
"mmu-miR-148b-3p",9.48815577677764,9.78559743317366,9.56083461543378,9.38182802208164,9.43579246068403,9.35731414543761
"mmu-miR-187-3p",4.40795765098398,4.42683819507327,3.86342308866215,4.18863251442566,4.17976653996066,4.27046014137109
"mmu-miR-181a-5p",15.0891335328942,14.4736035993259,15.3206147356534,15.3415537166698,15.4263647815174,15.2136803868569
"mmu-miR-374b-5p",6.67034897237172,6.60942105233288,5.71051409608572,6.09718517175681,6.36925768020421,6.04779558551973
"mmu-miR-5121",-0.0700840475948752,-0.144109674128181,0.825018694817372,5.39613097071722,5.43232577070424,5.49450956471002
"mmu-let-7c-2-3p",6.25791474152686,6.2164091588671,5.9351444293918,3.80699843267998,4.61852108831745,3.87670279325983
"mmu-miR-541-5p",7.2481473423611,7.56365450121225,7.7706076425122,6.7997190875187,6.83093187527282,6.85547376432096
"mmu-mir-301a",0.348409970558548,0.576492385838276,-0.96793194371937,-0.345738711756523,-0.732023181807667,0.0880783172425862
"mmu-miR-148b-5p",4.63432367049443,4.39273096487971,4.83786057131829,4.72019636359878,4.84234692818738,4.6393412998041
"mmu-miR-6989-3p",-0.335889643538815,-1.3132597946998,0.300324097189636,0.88479437748591,-0.0166068946525039,0.696143724660022
