miRNA	Lung_M3_.	Lung_F2_.	Lung_F3_.	Lung_F1_.	Lung_M1_.	Lung_M2_.
mmu-miR-30c-2-3p	820	579	394	366	620	1010
mmu-miR-429-3p	6112	5027	2154	7361	4317	4461
mmu-miR-152-5p	733	1588	1029	1406	626	710
mmu-miR-152-3p	5461	2700	1453	3221	3799	4387
mmu-miR-16-2-3p	148	76	36	113	79	139
mmu-miR-148a-5p	1233	1212	828	932	924	948
mmu-miR-148a-3p	69451	91729	48465	51182	50942	56258
mmu-miR-200b-3p	11449	12827	5499	14665	8417	9925
mmu-miR-200b-5p	135	67	25	64	94	150
mmu-miR-125b-1-3p	1126	233	118	391	709	903
mmu-miR-328-5p	1	0	0	0	0	0
mmu-miR-328-3p	10066	2101	994	2560	7442	9844
mmu-miR-192-5p	23147	22982	12985	26330	17429	17902
mmu-miR-192-3p	10	9	2	6	6	2
mmu-miR-148b-5p	492	251	158	309	378	446
mmu-miR-148b-3p	13028	10662	4238	9058	9501	10833
mmu-miR-200a-5p	180	160	108	176	116	140
mmu-miR-200a-3p	11812	12156	6857	10909	8110	9509
mmu-miR-20a-5p	758	901	388	858	609	699
mmu-miR-20a-3p	87	45	10	49	78	64
mmu-miR-99a-5p	17521	8852	2950	9645	12900	12951
mmu-miR-99a-3p	319	537	215	321	242	235
mmu-let-7c-1-3p	8	5	0	10	3	13
mmu-miR-7a-5p	1454	929	53	131	990	49
mmu-miR-7a-2-3p	1	0	0	0	0	0
mmu-miR-29b-2-5p	28	35	12	42	20	28
mmu-miR-29b-3p	3140	2747	433	160	150	2524
mmu-miR-338-5p	163	74	26	83	108	159
mmu-miR-338-3p	6231	2391	522	2668	4503	5398
mmu-miR-324-5p	452	367	201	399	302	399
mmu-miR-324-3p	82	86	39	56	78	100
mmu-miR-34b-5p	2234	3085	693	2301	1339	1154
mmu-miR-34b-3p	4703	1318	664	1435	3500	4327
mmu-miR-100-5p	16831	7358	2439	6991	12756	12894
mmu-miR-100-3p	4	6	3	13	5	9
mmu-miR-652-5p	17	19	1	14	5	6
mmu-miR-652-3p	4382	1880	1022	2487	3325	3606
mmu-miR-103-2-5p	7	4	3	8	2	8
mmu-miR-103-3p	14347	11376	3499	14460	10340	2535
mmu-miR-34a-5p	1148	1431	619	1533	785	956
mmu-miR-34a-3p	6	14	1	9	2	5
mmu-miR-25-5p	28	7	6	14	28	37
mmu-miR-25-3p	11257	8723	5087	9610	8497	9745
mmu-miR-98-5p	5391	2961	2418	4170	3784	7000
mmu-miR-98-3p	12	62	43	98	13	16
mmu-let-7e-5p	8543	3355	2671	4785	5867	10099
mmu-let-7e-3p	79	104	32	133	45	100
mmu-miR-101b-3p	2888	4744	2547	3193	2055	2302
mmu-miR-1839-5p	3342	1139	1074	1637	2489	3085
mmu-miR-1839-3p	208	163	85	210	126	141
mmu-miR-140-3p	16257	15193	12890	6533	10953	11383
mmu-miR-140-5p	854	824	215	712	586	539
mmu-miR-150-5p	18146	3842	1058	4462	12655	10986
mmu-miR-150-3p	127	24	5	22	78	55
mmu-let-7d-5p	27653	5340	4219	6976	19554	26635
mmu-let-7d-3p	2174	2254	1141	2567	1776	2830
mmu-miR-378c	14	25	20	35	7	17
mmu-miR-542-5p	133	61	11	44	109	142
mmu-miR-542-3p	1581	2458	1582	2396	1123	1316
mmu-miR-1843b-5p	2153	1177	826	1506	1647	1889
mmu-miR-1843b-3p	216	92	65	189	162	172
mmu-miR-1843a-5p	1001	667	466	811	763	886
mmu-miR-1843a-3p	82	25	13	16	87	82
mmu-miR-5099	5957	2251	1113	2148	3243	4130
mmu-miR-214-5p	105	109	30	101	81	73
mmu-miR-214-3p	1791	763	324	894	1440	1459
mmu-miR-155-5p	832	665	293	637	745	623
mmu-miR-155-3p	1	0	0	0	0	1
mmu-miR-223-5p	353	268	123	150	157	262
mmu-miR-223-3p	2304	790	292	802	1182	1429
mmu-miR-183-5p	14537	17273	3575	18005	11878	12792
mmu-miR-183-3p	33	6	2	14	24	17
mmu-miR-365-2-5p	93	6	5	11	53	92
mmu-miR-365-3p	1541	1069	461	1684	463	483
mmu-miR-1298-5p	913	1001	561	1445	714	658
mmu-miR-1298-3p	34	44	30	47	32	25
mmu-miR-301a-5p	11	6	2	4	8	7
mmu-miR-301a-3p	2946	4878	1278	5432	2152	2419
mmu-miR-532-5p	1529	1953	1039	1440	1012	1099
mmu-miR-532-3p	93	48	10	53	76	62
mmu-miR-574-5p	316	142	87	148	213	267
mmu-miR-574-3p	939	451	119	518	477	792
mmu-miR-222-5p	36	17	10	17	26	24
mmu-miR-222-3p	4860	2956	2764	4422	4194	5699
mmu-miR-93-5p	11923	7125	2988	9232	8433	9041
mmu-miR-93-3p	39	18	8	28	25	39
mmu-miR-511-5p	14	5	2	9	7	17
mmu-miR-511-3p	26	46	11	44	16	36
mmu-miR-203-5p	14	4	3	2	12	6
mmu-miR-203-3p	4701	3904	2005	5550	3229	3484
mmu-miR-425-5p	8222	3272	1084	4498	6087	6702
mmu-miR-425-3p	529	326	196	354	373	462
mmu-miR-6412	98	25	11	38	69	76
mmu-miR-450b-5p	1268	1285	397	1173	862	983
mmu-miR-450b-3p	11	19	14	16	7	11
mmu-miR-107-5p	2	5	1	3	2	1
mmu-miR-107-3p	2236	2414	1303	2411	1593	1789
mmu-miR-501-5p	12	4	3	9	7	7
mmu-miR-501-3p	709	320	98	317	519	590
mmu-miR-764-5p	21	5	5	12	17	15
mmu-miR-764-3p	25	11	3	19	21	9
mmu-miR-1191b-5p	35	22	16	11	33	22
mmu-miR-1191b-3p	5	3	0	4	2	0
mmu-miR-340-5p	3280	3717	1856	3284	2166	2318
mmu-miR-340-3p	410	92	50	121	305	338
mmu-miR-3068-5p	68	243	78	214	27	52
mmu-miR-3068-3p	316	165	81	248	189	233
mmu-miR-449c-5p	6091	4716	1532	1148	3660	2669
mmu-miR-449c-3p	0	3	0	1	0	2
mmu-miR-194-5p	684	158	27	510	158	781
mmu-miR-194-1-3p	0	1	0	0	0	0
mmu-miR-326-5p	0	1	0	0	0	1
mmu-miR-326-3p	1582	376	119	299	1234	1297
mmu-miR-1964-5p	3	0	0	0	0	1
mmu-miR-1964-3p	113	57	26	66	100	122
mmu-miR-450a-2-3p	7	0	1	4	3	3
mmu-miR-450a-5p	862	594	177	55	96	570
mmu-miR-193b-5p	5	0	0	0	2	2
mmu-miR-193b-3p	306	610	135	316	209	245
mmu-miR-3470a	523	394	107	212	177	446
mmu-miR-181d-5p	5443	3863	2447	3913	4196	4951
mmu-miR-181d-3p	2	3	0	1	6	4
mmu-miR-15b-5p	5201	1544	601	1815	4026	4808
mmu-miR-15b-3p	97	144	53	153	64	66
mmu-miR-28a-5p	1561	693	270	822	1049	1280
mmu-miR-28a-3p	596	540	335	285	450	555
mmu-miR-1981-5p	88	41	44	53	78	111
mmu-miR-1981-3p	102	62	24	85	84	92
mmu-miR-19b-1-5p	2	2	0	2	1	0
mmu-miR-19b-3p	2015	994	396	2133	1252	1291
mmu-miR-3470b	1437	2301	544	1288	484	1085
mmu-miR-484	7090	3398	1164	4720	5328	6084
mmu-miR-872-5p	1971	754	265	888	1360	1501
mmu-miR-872-3p	1136	714	269	732	1016	791
mmu-miR-497a-5p	4049	2018	537	2275	2811	3272
mmu-miR-497a-3p	58	49	21	39	34	34
mmu-miR-543-3p	5	1	3	3	2	2
mmu-miR-449a-5p	4274	3015	1166	3478	3086	2420
mmu-miR-449a-3p	5	2	0	4	5	1
mmu-let-7j	2813	1469	1183	2506	2122	2557
mmu-miR-5709-5p	15	10	7	11	14	19
mmu-miR-5709-3p	0	1	1	0	1	1
mmu-miR-224-5p	546	197	75	286	442	531
mmu-miR-224-3p	1	3	0	0	4	5
mmu-miR-339-5p	1010	436	159	425	734	782
mmu-miR-339-3p	371	192	86	145	272	265
mmu-miR-744-5p	1859	928	500	899	1414	1756
mmu-miR-744-3p	59	45	28	52	50	66
mmu-miR-1264-5p	8	6	4	3	6	5
mmu-miR-1264-3p	177	87	39	157	112	117
mmu-miR-3084-3p	118	52	4	15	73	98
mmu-miR-3084-5p	5	3	1	1	2	2
mmu-miR-103-1-5p	0	0	0	1	0	0
mmu-miR-421-5p	2	3	0	0	1	1
mmu-miR-421-3p	1748	696	377	1105	1580	1978
mmu-miR-361-5p	2439	1274	436	1424	1861	2316
mmu-miR-361-3p	1197	835	370	1197	921	1080
mmu-miR-219a-5p	42	61	18	39	36	17
mmu-miR-219a-1-3p	39	27	8	41	42	49
mmu-miR-8114	133	58	30	81	126	119
mmu-miR-185-3p	18	8	8	9	14	19
mmu-miR-185-5p	811	203	100	252	573	755
mmu-miR-676-5p	55	48	44	41	44	45
mmu-miR-676-3p	1866	616	559	487	1357	1698
mmu-miR-664-5p	82	34	31	69	48	71
mmu-miR-664-3p	470	510	187	622	356	549
mmu-miR-127-5p	23	29	11	12	20	4
mmu-miR-127-3p	4952	4327	1230	4342	3464	3037
mmu-miR-1306-3p	15	5	1	3	7	18
mmu-miR-1306-5p	14	0	2	7	3	16
mmu-miR-374b-5p	1311	1186	297	1304	981	1304
mmu-miR-374b-3p	2	0	1	1	0	0
mmu-miR-7052-3p	41	11	7	11	32	24
mmu-miR-8112	457	75	40	114	454	370
mmu-miR-133b-3p	3	2	1	3	0	0
mmu-miR-218-5p	406	911	174	582	338	337
mmu-miR-218-1-3p	46	24	10	30	52	56
mmu-miR-106b-5p	733	743	297	697	479	568
mmu-miR-106b-3p	498	233	158	368	389	430
mmu-miR-674-5p	274	79	48	102	222	289
mmu-miR-674-3p	205	96	27	113	153	187
mmu-miR-7049-5p	5	0	1	1	4	5
mmu-miR-7049-3p	2	0	0	0	0	0
mmu-miR-218-2-3p	0	2	0	1	0	0
mmu-miR-31-5p	2273	629	416	824	1640	2031
mmu-miR-31-3p	31	48	15	39	20	21
mmu-miR-17-5p	748	739	277	739	541	726
mmu-miR-17-3p	226	69	30	54	199	204
mmu-miR-193a-3p	154	295	39	74	95	104
mmu-miR-193a-5p	27	13	5	6	30	30
mmu-miR-448-5p	5	0	1	0	3	0
mmu-miR-448-3p	44	53	39	129	30	41
mmu-miR-3102-5p.2-5p	14	1	4	2	6	9
mmu-miR-3102-3p.2-3p	94	52	21	86	88	66
mmu-miR-3102-3p	288	165	83	218	234	318
mmu-miR-19a-5p	9	5	0	11	0	10
mmu-miR-19a-3p	326	586	142	573	207	227
mmu-miR-362-5p	156	71	28	96	100	121
mmu-miR-362-3p	110	132	34	98	66	66
mmu-miR-7235-3p	12	5	2	3	8	13
mmu-miR-879-5p	862	726	238	587	601	720
mmu-miR-879-3p	32	19	4	30	39	27
mmu-miR-134-3p	0	0	0	1	1	0
mmu-miR-134-5p	37	31	24	51	24	21
mmu-miR-431-5p	17	13	3	13	10	14
mmu-miR-431-3p	1	7	5	0	2	3
mmu-miR-7043-3p	54	11	9	33	38	28
mmu-miR-7043-5p	0	0	0	1	1	0
mmu-miR-215-5p	187	74	57	119	112	96
mmu-miR-215-3p	2	0	2	3	1	1
mmu-miR-350-5p	110	60	28	39	75	99
mmu-miR-350-3p	200	93	41	119	113	218
mmu-miR-136-5p	229	170	48	128	162	151
mmu-miR-136-3p	452	1134	337	965	299	297
mmu-miR-455-5p	94	165	38	184	55	67
mmu-miR-455-3p	965	104	78	173	661	589
mmu-miR-504-5p	2	1	1	0	1	1
mmu-miR-1912-5p	14	33	14	51	14	13
mmu-miR-1912-3p	55	40	13	51	54	33
mmu-miR-490-5p	45	10	5	12	21	34
mmu-miR-490-3p	1778	1402	230	876	942	678
mmu-miR-28c	18	5	0	8	9	25
mmu-miR-128-3p	549	115	59	146	335	469
mmu-miR-3968	904	77	62	153	564	888
mmu-miR-130b-5p	69	16	4	10	67	79
mmu-miR-130b-3p	859	242	41	309	683	987
mmu-miR-7008-3p	26	31	2	30	31	19
mmu-miR-7008-5p	0	0	1	0	0	0
mmu-miR-503-3p	347	145	69	163	238	273
mmu-miR-503-5p	25	22	12	26	23	22
mmu-miR-96-5p	1536	693	214	560	1161	1241
mmu-miR-96-3p	2	2	1	3	0	2
mmu-miR-9769-5p	0	0	0	0	0	1
mmu-miR-9769-3p	3	5	5	2	3	5
mmu-miR-208b-5p	0	0	0	1	0	0
mmu-miR-208b-3p	460	473	156	910	421	404
