DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Lung_M1_*	Lung_F1_*	Lung_F2_*	Lung_M2_*	Lung_F3_*	Lung_M3_*
531	4636619	2852744	3007837	5339984	8819385	2086829
532	4871549	2863480	3012528	5555964	8860662	2086829
533	4954824	2880471	3012528	5561664	8893984	2116366
534	4977864	2886345	3050092	5584942	9067942	2159795
535	5082270	2900160	3062915	5592640	9156528	2175498
536	5098517	2981883	3083554	5657239	9293375	2187087
537	5103479	2983448	3105400	5715837	9293375	2218331
538	5134129	3012001	3116385	5728459	9293375	2224070
539	5181016	3063791	3133225	5757963	9293375	2271934
540	5263910	3068497	3219081	5846178	9293375	2305237
541	5317866	3143320	3227848	5855824	9293375	2317452
542	5318458	3161965	3262151	5856477	9293375	2329826
543	5351688	3339487	3287089	5904275	9293375	2340691
544	5382148	3339572	3345398	5940013	9314121	2415589
545	5453860	3349033	3346527	6065937	9451061	2415589
546	5493940	3487118	3369280	6076532	9532802	2420728
547	5573563	3501233	3371356	6197726	9595543	2462458
548	5583351	3564002	3385825	6275334	9623580	2507882
549	5661947	3573690	3428338	6394779	9629694	2536985
550	5722085	3657146	3454750	6554084	9679520	2567598
551	5939922	3667645	3459229	6634381	9751116	2567598
552	5985803	3740542	3482991	6763275	9807048	2570118
553	5991154	3750081	3618212	6785219	9979489	2604230
554	6052663	3802523	3808532	6785219	10114387	2672937
555	6291215	3827116	3915139	6785219	10191988	2701181
556	6529878	3884147	3936638	6816231	10411547	2761972
557	6547851	3914619	3969935	6819797	10496723	2818416
558	6653691	3940007	3973281	6826645	10496723	2831384
559	6926714	3990695	3997710	6873300	10496723	2841418
560	7015369	4000076	4026140	6984990	10496723	2841418
561	7190751	4035868	4064474	6991597	10496723	2841418
562	7194096	4045555	4094560	7008921	10544991	2873375
563	7599617	4053420	4122733	7074263	10674111	2906329
564	7632555	4058902	4130793	7134741	10804708	2927505
565	7705801	4125188	4167388	7134741	10890183	2950344
566	7733369	4140173	4169135	7134741	11026908	2969573
567	7746493	4147284	4185396	7134741	11155862	2974001
568	7746931	4213798	4203324	7151583	11176449	3003830
569	7790151	4239228	4246867	7235563	11225007	3073596
570	7839730	4249532	4353449	7255061	11386470	3107361
571	7943398	4485417	4356420	7273357	11433879	3157794
572	7949987	4485417	4473388	7445240	11697326	3195755
573	8027526	4519008	4691447	7528376	11967431	3206520
574	8089581	4763007	4717204	7647543	12047309	3214641
575	8141700	4766287	4721309	7712824	12093340	3216080
576	8163392	4776293	4776858	7756341	12207905	3268380
577	8325066	4793825	4779828	7846794	12207905	3293904
578	8359247	4820447	4817502	7861702	12290563	3401930
579	8470563	4968012	4833906	7916375	12462361	3472039
580	8654449	5006029	4836096	7929934	12583165	3512936
581	8834708	5139692	4838975	8124177	12675237	3520970
582	9053481	5186388	4844798	8171017	12793333	3564798
583	9298241	5198028	4996938	8293215	12810929	3586643
584	9298241	5277206	5163660	8429809	12810929	3622521
585	9508930	5379058	5168913	8468284	13045343	3711522
586	9561558	5379058	5183101	8687958	13045343	3715172
587	9785039	5379058	5247939	8708737	13108482	3722117
588	9930568	5395355	5247939	8881974	13246612	3723840
589	10065257	5410903	5255140	8895191	13309960	3741439
590	10128251	5625958	5255140	9035187	13396000	3744240
591	10213873	5733713	5323664	9104831	13449233	3786445
592	10416411	5737881	5331285	9205192	13609421	3799792
593	10437643	5748722	5357909	9215495	13650412	3806397
594	10438992	5749174	5413001	9308576	13705621	3814467
595	10507672	5811535	5415228	9531656	13892009	3833817
596	10533827	5842760	5416499	9636404	13948562	3847066
597	10735006	5863439	5472520	9780293	13983724	3883338
598	10843682	5919142	5512008	9876977	14073799	3886834
599	10925200	6012865	5571017	9937291	14124634	3886834
600	10935867	6033581	5621609	10192660	14207628	3947608
601	11008856	6033581	5629121	10224313	14223324	3978316
602	11038554	6209986	5636622	10420441	14412112	4023054
603	11129191	6303494	5670125	10711783	14430756	4053486
604	11171615	6675538	5728994	10975824	14606960	4103900
605	11362866	6715333	5783149	10986902	14729240	4170882
606	11395133	6956789	5895333	11022944	15505179	4252982
607	11492372	7072312	5895333	11197254	16153514	4315682
608	11492372	7201494	5906777	11266828	16159571	4370294
609	11492372	7453470	5915482	11408073	16186077	4400805
610	11554777	7525414	6245982	11602180	16445374	4429529
611	11611622	7579875	6366032	11817511	17203601	4469947
612	11637358	7579875	6466141	12273806	17439147	4525107
613	11686455	7579875	6491017	12281036	17593459	4561185
614	11694702	7579875	6556830	12478164	17703706	4576631
615	11793636	7609389	6725285	12556240	17841997	4587814
616	11878480	7655539	6981704	12628586	18040490	4697890
617	12085254	7660902	6981704	13022511	18114444	4721710
618	12195836	7777420	7017581	13031599	18506318	4724950
619	12317627	7810367	7027507	13359508	18584763	4727834
620	12387564	7818467	7079373	13547057	19219529	4736320
621	12390589	7818467	7104629	13650579	19219529	4780009
622	12608900	7818467	7195827	13682464	19427237	4846303
623	12621452	8075178	7307843	13734992	19480640	5013787
624	12737943	8132810	7371153	13777590	19693379	5064291
625	12781723	8402483	7426124	13783675	19839740	5064291
626	12794610	8433030	7459466	13808455	20136177	5116018
627	12930048	8479854	7855379	13811378		5359170
628	12935807	8598034	7927300	13864926		5378587
629	12986652	8741276	7928599	13957512		5455564
630	12994612	8871469	8034408	14060457		5488354
631	12994612	9044229	8105635	14121538		5518820
632	13024369	9050826	8133632	14157546		5527045
633	13086194	9052994	8150295	14347195		5566519
634	13122877	9135126	8469785	14389464		5582281
635	13350746	9249318	8526602	14410826		5597224
636	13363074	9372941	8655877	14457195		5642781
637	13376160	9381184	8679640	14526963		5829214
638	13410294	9531768	8756281	14527699		5855188
639	13522842	9546226	8873554	14553198		5867910
640	13587207	9594608	8883262	14707208		5879185
641	13709671	9617065	9035919	14782335		5887683
642	13710751	9655940	9113190	14814582		5888799
643	13771619	9845938	9144517	14950574		5888799
644	13781058	9991473	9196313	15128564		5916409
645	13817310	10030211	9238700	15129047		5990150
646	13847008	10069102	9605600	15149911		6015586
647	13869961	10408044	9740990	15160970		6083845
