ID	Lung_F1	Lung_F2	Lung_F3	Lung_M1	Lung_M2	Lung_M3	
mmu-miR-143-3p	402606.0	1092545.0	694665.0	1429994.0	1404136.0	2157781.0	
mmu-miR-7068-5p	0.0	0.0	0.0	15.0	8.0	8.0	
mmu-miR-6908-3p	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-6977-5p	0.0	0.0	0.0	0.0	1.0	1.0	
mmu-miR-200b-3p	13704.0	12121.0	5146.0	7861.0	9219.0	10734.0	
mmu-let-7f-2	1473.0	914.0	1204.0	1561.0	2679.0	2352.0	
mmu-miR-7068-3p	196.0	173.0	69.0	137.0	165.0	213.0	
mmu-let-7i-5p	65264.0	51543.0	40744.0	77261.0	117206.0	101845.0	
mmu-let-7f-1	27.0	24.0	22.0	19.0	32.0	39.0	
mmu-miR-381-3p	60.0	218.0	80.0	115.0	109.0	182.0	
mmu-miR-541-3p	1.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-3102-5p.2-5p	3.0	1.0	3.0	6.0	9.0	14.0	
mmu-miR-486b-5p	664806.0	386135.0	288101.0	480354.0	507327.0	564678.0	
mmu-miR-3058-5p	1.0	0.0	1.0	2.0	3.0	5.0	
mmu-miR-429-3p	7331.0	5036.0	2145.0	4329.0	4465.0	6124.0	
mmu-miR-666-5p	7.0	5.0	2.0	11.0	7.0	23.0	
mmu-miR-6908-5p	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-mir-3057	5.0	1.0	0.0	3.0	3.0	0.0	
mmu-miR-7044-5p	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-miR-1839-5p	1242.0	911.0	851.0	1801.0	2305.0	2421.0	
mmu-miR-465c-3p	1.0	1.0	0.0	0.0	0.0	0.0	
mmu-mir-219b	0.0	1.0	0.0	1.0	0.0	0.0	
mmu-miR-7000-3p	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-6977-3p	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-291a-3p	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-miR-143-5p	256.0	318.0	235.0	406.0	442.0	633.0	
mmu-miR-6921-3p	1.0	3.0	1.0	4.0	4.0	9.0	
mmu-mir-873a	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-mir-219c	1.0	2.0	1.0	6.0	3.0	2.0	
mmu-miR-221-3p	7703.0	6157.0	3385.0	5178.0	6994.0	7072.0	
mmu-miR-200b-5p	62.0	65.0	23.0	91.0	149.0	129.0	
mmu-mir-3060	14.0	18.0	7.0	33.0	30.0	27.0	
mmu-mir-3061	0.0	0.0	0.0	3.0	0.0	3.0	
mmu-miR-155-3p	1.0	0.0	6.0	0.0	3.0	1.0	
mmu-mir-3066	4.0	3.0	2.0	1.0	6.0	2.0	
mmu-mir-3068	81.0	45.0	23.0	45.0	59.0	94.0	
mmu-let-7i-3p	48.0	170.0	66.0	38.0	71.0	86.0	
mmu-mir-3069	2.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-3062	0.0	2.0	0.0	0.0	0.0	0.0	
mmu-miR-7673-5p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-3064	3.0	2.0	2.0	0.0	3.0	3.0	
mmu-miR-3058-3p	3.0	1.0	1.0	5.0	4.0	6.0	
mmu-miR-486b-3p	7.0	0.0	2.0	8.0	14.0	9.0	
mmu-miR-30c-2-3p	422.0	593.0	416.0	693.0	1127.0	923.0	
mmu-miR-429-5p	1.0	0.0	2.0	0.0	2.0	1.0	
mmu-miR-425-3p	317.0	293.0	182.0	348.0	421.0	481.0	
mmu-miR-6402	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-mir-3079	4.0	2.0	1.0	6.0	1.0	3.0	
mmu-mir-3076	1.0	0.0	3.0	2.0	0.0	0.0	
mmu-miR-7689-3p	0.0	0.0	0.0	0.0	3.0	2.0	
mmu-miR-15a-5p	1591.0	1722.0	503.0	2225.0	2436.0	3175.0	
mmu-miR-7012-5p	2.0	0.0	1.0	0.0	0.0	4.0	
mmu-miR-6913-3p	4.0	3.0	1.0	6.0	4.0	2.0	
mmu-miR-5129-3p	19.0	13.0	2.0	9.0	14.0	14.0	
mmu-miR-7012-3p	0.0	0.0	2.0	6.0	3.0	3.0	
mmu-mir-3081	0.0	0.0	0.0	0.0	2.0	0.0	
mmu-mir-3082	2.0	1.0	0.0	13.0	12.0	15.0	
