miRNA	Lung_F1	Lung_F2	Lung_F3	Lung_M1	Lung_M2	Lung_M3
mmu-miR-877-5p	36	18	9	103	85	148
mmu-miR-877-3p	63	59	21	77	65	92
mmu-miR-7a-1-3p	89	107	30	86	132	131
mmu-miR-6988-3p	25	24	9	80	60	88
mmu-miR-6988-5p	0	0	0	0	0	1
mmu-miR-300-3p	140	171	60	131	122	195
mmu-miR-300-5p	2	0	0	0	0	0
mmu-miR-7072-3p	0	0	0	1	0	1
mmu-miR-7072-5p	0	0	1	0	0	0
mmu-miR-466h-5p	2	3	2	5	8	11
mmu-miR-466h-3p	3	0	1	3	5	12
mmu-miR-1249-5p	0	0	0	0	0	1
mmu-miR-1249-3p	411	360	156	691	644	820
mmu-miR-29b-1-5p	9	8	3	18	20	17
mmu-miR-669a-5p	5	0	0	0	37	29
mmu-miR-669a-3p	0	32	1	9	0	18
mmu-miR-669o-5p	6	3	2	10	17	18
mmu-miR-669o-3p	3	6	0	1	5	2
mmu-miR-1943-3p	3	1	1	7	2	6
mmu-miR-1943-5p	153	130	110	493	560	658
mmu-miR-6946-5p	1	0	0	3	1	1
mmu-miR-6946-3p	14	11	3	25	22	31
mmu-miR-874-3p	235	230	76	397	307	466
mmu-miR-874-5p	1	7	3	24	19	23
mmu-miR-137-3p	0	2	0	0	0	3
mmu-miR-122-5p	20	54	34	137	403	247
mmu-miR-122-3p	0	1	2	0	3	2
mmu-miR-673-5p	30	54	11	30	37	47
mmu-miR-673-3p	6	6	10	10	8	17
mmu-miR-5100	31	15	9	48	69	84
mmu-miR-7044-5p	1	0	0	0	0	0
mmu-miR-7044-3p	4	12	5	10	18	18
mmu-miR-6516-5p	27	39	9	63	83	69
mmu-miR-6516-3p	7	6	1	3	0	3
mmu-miR-211-5p	40	62	5	109	90	210
mmu-miR-211-3p	0	0	0	0	0	3
mmu-miR-345-5p	324	403	124	168	213	257
mmu-miR-345-3p	161	314	215	409	518	525
mmu-miR-296-5p	9	11	6	4	10	17
mmu-miR-296-3p	3	1	2	6	8	5
mmu-miR-3082-5p	1	0	1	1	4	4
mmu-miR-3082-3p	98	105	64	248	207	319
mmu-miR-3964	23	3	0	14	13	18
mmu-miR-331-5p	4	16	8	44	56	57
mmu-miR-331-3p	114	128	56	60	90	68
mmu-miR-6944-5p	0	1	0	0	0	0
mmu-miR-6944-3p	33	26	11	29	20	29
mmu-miR-708-5p	32	118	21	38	44	110
mmu-miR-708-3p	78	177	21	56	37	72
mmu-miR-434-5p	68	157	50	199	199	322
mmu-miR-434-3p	84	180	75	189	244	270
mmu-miR-212-5p	38	23	9	82	100	67
mmu-miR-212-3p	41	14	6	28	61	43
mmu-miR-132-5p	10	9	3	11	13	20
mmu-miR-132-3p	119	159	91	101	184	138
mmu-miR-184-3p	49	139	55	119	140	162
mmu-miR-33-3p	23	36	10	24	30	27
mmu-miR-33-5p	17	23	12	29	35	49
mmu-miR-700-5p	153	142	65	52	64	81
mmu-miR-700-3p	47	45	16	75	84	95
mmu-miR-139-3p	12	7	2	63	45	88
mmu-miR-139-5p	99	120	24	145	204	230
mmu-miR-379-5p	40	92	57	133	131	172
mmu-miR-379-3p	10	11	7	9	7	9
mmu-miR-669b-5p	10	7	4	16	21	19
mmu-miR-669b-3p	0	0	0	0	0	2
mmu-miR-187-5p	22	22	10	65	90	83
mmu-miR-187-3p	104	99	38	94	102	169
mmu-miR-669p-5p	7	3	5	14	29	23
mmu-miR-669p-3p	0	0	0	0	0	1
mmu-miR-1941-5p	11	4	7	23	39	40
mmu-miR-1941-3p	41	26	9	32	45	44
mmu-miR-3091-5p	0	1	0	1	0	0
mmu-miR-3091-3p	4	1	0	1	2	3
mmu-miR-7068-3p	166	166	57	122	145	181
mmu-miR-8103	21	19	10	79	61	81
mmu-miR-5132-3p	3	2	0	0	2	2
mmu-miR-5132-5p	0	0	1	0	0	0
mmu-miR-128-1-5p	20	16	13	17	12	33
mmu-miR-5124a	0	0	0	7	7	7
mmu-miR-3086-5p	72	48	36	40	55	54
mmu-miR-3086-3p	3	1	0	1	2	1
mmu-miR-7069-3p	0	0	0	1	2	2
mmu-miR-7069-5p	1	0	0	1	0	2
mmu-miR-3569-5p	1	0	0	0	0	0
mmu-miR-3569-3p	0	0	0	0	2	2
mmu-miR-491-5p	6	8	2	8	10	20
mmu-miR-491-3p	4	2	1	3	1	0
mmu-miR-6919-5p	1	2	0	0	0	0
mmu-miR-6919-3p	0	0	0	1	1	3
mmu-miR-1968-5p	8	11	14	32	76	35
mmu-miR-1968-3p	1	1	0	5	1	4
mmu-miR-411-5p	200	172	75	113	102	172
mmu-miR-411-3p	12	18	6	6	5	12
mmu-miR-467c-5p	20	6	2	34	45	34
mmu-miR-467c-3p	3	3	1	1	1	2
mmu-miR-382-5p	6	5	3	11	8	22
mmu-miR-382-3p	4	8	2	0	3	3
mmu-miR-301b-3p	32	15	7	22	39	41
mmu-miR-6989-5p	0	0	0	2	2	1
mmu-miR-6989-3p	5	0	4	21	8	26
mmu-miR-297c-5p	1	0	0	2	0	0
mmu-miR-297c-3p	6	3	1	6	3	9
mmu-miR-297a-5p	2	1	1	5	0	6
mmu-miR-297b-5p	3	1	0	5	7	2
mmu-miR-190a-3p	10	19	3	7	12	4
