Lung_M2_*.hairpin	Lung_M3_*.hairpin	Lung_F1_*.hairpin	Lung_F2_*.hairpin	Lung_F3_*.hairpin	Lung_M1_*.hairpin
mmu-mir-26a-1	6707.08393421984	6636.54278788364	6005.93810662323	4824.70307469441	4278.16241050903	7024.27545611204
mmu-mir-26a-2	5862.90738577168	5941.67063023871	5793.56893822335	4737.53787636249	4214.15840594236	6157.77072742236
mmu-mir-142b	7646.41413239448	6032.73250573653	5378.24134743838	2873.32734429609	1994.90376338854	6643.0927196835
mmu-mir-142a	7641.69806229142	6024.09330216366	5374.16335749865	2871.14040383615	1992.2088579331	6638.133707501
mmu-mir-126a	5617.67174041244	4179.74008535007	6618.89136371827	4705.04618952909	4302.41655960798	4481.62460973572
mmu-mir-27b	4197.30239172545	3983.37332305861	4104.96741164063	3924.30844533034	4309.82754961044	4308.38978416022
mmu-mir-23b	7033.6024348848	3051.50679713089	3956.59131614116	3036.41061859451	3928.49842766586	3429.65282542036
mmu-mir-140	3118.70941756626	3743.8105429028	2022.68301010689	4704.73376946339	8636.49825831737	3571.14997302783
mmu-let-7f-2	3887.42884436541	3093.3018630645	2648.81131162261	1606.15155779343	3399.623232036	3249.47538278935
mmu-mir-101a	2002.38788258257	2245.02546900402	2637.20472487107	4554.77213792461	5305.59511539506	2222.95986101084
mmu-mir-24-2	2309.76468694686	3062.48092058832	2689.90490255375	2617.45531048305	2835.04053912158	3111.61484411571
mmu-mir-3074-2	2307.82277572796	3058.74504877302	2689.90490255375	2614.9559499574	2832.34563366614	3108.30883599404
mmu-mir-3074-1	2283.68759343581	3038.43124577736	2676.10247506543	2603.08398746058	2820.21855911666	3083.84437589369
mmu-mir-24-1	2282.85534577057	3036.79680185816	2673.90663432865	2599.02252660641	2818.87110638895	3082.85257345718
mmu-mir-200b	2367.18977584886	2244.09150105019	3728.22387951619	2918.31583375772	2799.33304183701	2359.82859724798
mmu-let-7f-1	3550.9233717175	2807.27417720596	2371.19430418703	1394.33075324491	3163.81900468511	2899.36912270451
mmu-let-7b	3402.78328730366	2939.43064267203	2123.37799246488	1709.87501960775	2396.44467624892	2902.01392920184
mmu-mir-451a	1269.455105389	1582.37520576601	4710.39207192387	4231.10494985342	2588.45668994893	1754.82911098238
mmu-mir-451b	1269.455105389	1582.37520576601	4710.39207192387	4231.10494985342	2588.45668994893	1754.82911098238
mmu-mir-6240	263.267678106242	123.283769904745	5056.70752526723	3560.96390891452	10530.343067127	151.084571160315
mmu-let-7c-1	3079.8711931881	2530.11918690874	2168.86326486958	1554.91466701768	2211.84365255136	2577.03333084169
mmu-mir-199a-2	2204.62406523742	2050.99362659712	3182.71430219363	2283.79068030927	1982.77668883907	2237.83689755836
mmu-mir-199a-1	2119.7348033823	1978.37761818731	3075.74548915913	2220.05698690529	1942.35310700749	2166.09652131812
mmu-mir-199b	2106.69625662677	1960.16524308775	3052.21862412222	2209.747124737	1930.22603245801	2141.63206121776
mmu-let-7c-2	2634.61869228133	2246.65991292321	1898.14747117816	1384.33331114233	1995.5774897524	2251.72213166937
mmu-mir-29a	2167.72775207816	2299.66259430271	2343.90314074421	1693.31675612534	987.682849418306	2287.09641857124
mmu-mir-26b	1847.31240095834	2089.51980469235	2477.84942568771	1860.46149127794	2080.46701159872	2007.40813147797
mmu-mir-126b	2484.814112537	1410.05811828552	2936.15275660678	2094.15170042586	1725.41321784467	1636.4740202266
mmu-mir-192	1523.01322740071	1590.08044138506	1793.06080734662	1484.30773216818	1073.91982399235	1694.32916235583
mmu-mir-148b	1776.01651763558	1602.92250075014	1405.02438000446	1233.12199934073	1486.91408503834	1825.90828559829
mmu-mir-125b-2	2112.52199028349	1964.83508285687	849.162982065657	790.735186301337	836.768143913736	2210.72763096066
mmu-mir-30c-2	1366.27325044599	1271.13038515422	1928.88924149306	1602.40251700496	1329.93584225903	1337.61088602764
mmu-mir-30c-1	1361.0023485661	1267.16102135047	1924.18386848568	1596.77895582226	1324.54603134815	1336.28848277897
mmu-let-7a-2	1941.07897124276	1597.78567700411	1132.11274557627	846.658378062672	1327.24093680359	1630.19260479543
mmu-mir-141	1370.98932054905	1483.37460266069	1491.6032433403	1294.66875228477	962.081247591638	1609.36475362891
mmu-mir-351	1578.77382097221	1318.29576682233	1171.01049577063	1283.73404998506	1414.82536410535	1521.09433678032
mmu-mir-183	1153.49526403136	1123.79694043852	1846.70205963078	1778.91985412873	911.551770302161	1307.52621212045
mmu-let-7a-1	1804.86777003078	1505.08935758709	1045.84757377425	851.657099113965	1290.85971315517	1585.56149515289
