"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-211-5p",69.4334850102262,1.24903732452137,0.444007015105302,2.81310268087801,0.00490659804921354,0.0158608634614112
"mmu-miR-212-3p",30.0368907446984,0.459928076668641,0.473786252804196,0.970750151458526,0.331672711194855,0.444515176262382
"mmu-miR-212-5p",46.6550536502845,1.13917033262428,0.391135119542556,2.91247263594375,0.00358579616562836,0.0121567235859108
"mmu-miR-214-3p",1038.67318909229,0.496422148392146,0.192754707739888,2.5754086850218,0.0100121706631801,0.028793621838249
"mmu-miR-214-5p",81.0210364991045,-0.581382648487542,0.299748113028107,-1.9395706702348,0.0524318882057095,0.107176947949906
"mmu-miR-215-5p",105.179283474779,-0.185973741048339,0.30912164923317,-0.601619917303362,0.54742716785699,0.655968761483807
"mmu-miR-218-1-3p",32.7269944166478,0.54176550155798,0.394345827658345,1.37383348208607,0.16949338398054,0.268740460531883
"mmu-miR-218-5p",975.224332561288,-0.665902337300899,0.193296030125034,-3.44498713641535,0.000571086568757498,0.0025885119475204
"mmu-miR-219a-1-3p",31.6839031392873,0.117445580301615,0.415867162325219,0.282411286442881,0.777628161749164,0.860135128513001
"mmu-miR-219a-5p",36.9905948220179,-1.10825112102984,0.420820063401619,-2.6335510528455,0.00844971315989438,0.0251680741976854
"mmu-miR-21a-3p",814.330487998577,0.754247473372668,0.769590013596159,0.980064008170015,0.327054523998684,0.441364843066186
"mmu-miR-21a-5p",87772.1155841834,-1.11874103036854,0.186766744407169,-5.99004407299399,2.09784179698688e-09,3.64500012226471e-08
"mmu-miR-22-3p",124614.203609179,0.776483990065774,0.174842345773994,4.44105223267524,8.95200603934169e-06,6.9129379970472e-05
"mmu-miR-22-5p",100.538336477918,-0.455465461745902,0.274166991647228,-1.66127023172779,0.0966591858293143,0.176784563556246
"mmu-miR-221-3p",6064.42143356926,-0.617699828878769,0.190194265872967,-3.24773108192094,0.00116329159600875,0.00470963684986068
"mmu-miR-221-5p",410.710976190077,1.10967349744106,0.219652508558852,5.05195003108166,4.37322123202039e-07,4.79903487829605e-06
"mmu-miR-222-3p",4177.34353413054,-0.334769219028818,0.281584131093751,-1.18887814355334,0.234487621988273,0.345517096710636
"mmu-miR-222-5p",21.2894925457687,0.0674467942316618,0.43521346615506,0.154974051762524,0.876841773829341,0.93514838794587
"mmu-miR-223-3p",990.450186994452,0.615358439997945,0.215252703224283,2.85877218162864,0.00425284090150172,0.0140748782216366
"mmu-miR-223-5p",36.5643227073028,1.66258831563845,0.386047430077463,4.30669442691235,1.65712278163642e-05,0.000113281999990556
"mmu-miR-224-5p",298.335339092407,0.76215838545095,0.246875117953358,3.08722236477045,0.00202036401724754,0.00726286030338126
"mmu-miR-23a-3p/23b-3p",44676.3599193188,0.465390306093553,0.187683620909377,2.47965327948498,0.0131510192445297,0.0353804840320573
